"ID","Ref","Status","Property","Address","Branch","Client group","Client","Description","Scope of Works","Terms and conditions","Created","Expiry date","Review date","Latest submitted date","Last sent date","Latest approved date","Latest declined date","Authorisation Note","Authorisation Ref","Authorisation Name","Author","Supervisor","Salesperson","Tags","Template","Work and services subtotal","Required works material cost","Required works labour cost","Required works total cost","Required works subtotal material sell","Required works subtotal labour sell","Required works subtotal sell","Required works subtotal margin","Programme maintenance subtotal sell"
15280,"SQ-0796","APPROVED","Coles CFC - 154 Cowpasture Road, Wetherill Park, NSW 2164","154 Cowpasture Road, Wetherill Park, NSW, 2164, Australia","","Charter Hall","The Trustee for Charter Hall Prime Industrial Fund C/- CBRE Pty Ltd CBRE","Survey Quote - Dry Fire - Fire Trip Cabling","<p><strong>Scope of Works</strong></p><p></p><p></p>","- The quotation is limited strictly to the defined scope of works. Should additional labour, materials, or services be required outside of this scope, such works will be subject to a separate quotation and will not proceed without prior written approval.

- The pricing includes only the installation and relocation of detectors and associated dry fire field equipment. It expressly excludes any design or redesign services, including but not limited to sprinkler block plans and dry fire services drawings. Any such design works will be assessed and quoted separately.

- The scope of works does not constitute a full system compliance upgrade unless expressly stated. Any recommendations to achieve compliance with current standards, codes, or authority requirements will be identified separately and quoted as additional works.

-Any modifications to Fire Indicating Panel programming, cause and effect, or system logic are limited to the defined scope. Verification of existing cause and effect is not included unless specifically noted. Any required reprogramming or validation outside of the scope will be treated as a variation.


- Portable fire extinguishers requiring pressure testing, recharging, or that have been condemned will not be tagged or stamped until the necessary work has been completed.

- If repairs require high-reach access equipment, the associated hire costs will be charged in addition to the quoted price and billed at invoice cost plus 15%.

- This quotation is based on the known scope of work at the time of issue.

- The quotation does not include painting of doors, unless specified in scope of work.

- If access is denied during the initial appointment, additional charges of $460 plus GST will apply on top of the original quoted price.

- This quotation is valid for sixty (60) days from the date of issue, after which it is subject to review.

- The quoted price excludes any work completed after hours.

- Parking must be provided. If parking is not available, any incurred parking costs will be charged at cost.","2026-04-16","2026-10-13","","2026-04-16","","2026-04-21","","","","","Casper Tavitian","Casper Tavitian","","","Service Quote (I&T Routines)",450.0000,0.0000,260.0000,260.0000,0.0000,450.0000,450.0000,42.2222,0.0000
14819,"SQ-0778","SUBMITTED","Goodman AU002 - Slough Business Park - Block H Units 48-50 - 2 Slough Avenue, Silverwater, NSW, 2128","2 Slough Avenue Block H Units 48-50, Silverwater, NSW, 2128, Australia","","Goodman Group Property Services (Aust) Pty Limited SC01822","Goodman Property Services (Aust) Pty Limited SC01822","Unit 49 - Defects Identified during the Annual Fire Safety Inspection conducted 26th and 27th of March 2026","<p><strong>Defect Description: </strong>No Smoke Detector is present in the boardroom. A new Smoke Detector is required to be installed. <br><br><strong>Scope of Works</strong></p><ol class=""tight"" data-tight=""true""><li><p>Supply and Install new Addressable Smoke Detector</p></li><li><p>Install Cabling to ensure linked to existing system </p></li><li><p>Test and Verify operation</p></li></ol>","- If the water supply cannot be shut down (and a shutdown is required), a pipe freeze will be performed at a cost of $800 per freeze.
- Portable fire extinguishers requiring pressure testing, recharging, or that have been condemned will not be tagged or stamped until the necessary work has been completed.
- If repairs require high-reach access equipment, the associated hire costs will be charged in addition to the quoted price and billed at invoice cost plus 15%.
- This quotation is based on the known scope of work at the time of issue.
- The quotation does not include painting of doors, unless specified in scope of work.
- If access is denied during the initial appointment, additional charges of $460 plus GST will apply on top of the original quoted price.
- This quotation is valid for sixty (60) days from the date of issue, after which it is subject to review.
- The quoted price excludes any work completed after hours.
- Parking must be provided. If parking is not available, any incurred parking costs will be charged at cost.","2026-04-10","2026-10-07","","2026-04-10","","","","","","","Casper Tavitian","Casper Tavitian","","","Service Quote (I&T Routines)",1236.0000,705.0000,315.0000,1020.0000,846.0000,390.0000,1236.0000,17.4757,0.0000
14754,"SQ-0775","APPROVED","","""54 Templar Rd, Erskine Park NSW 2759, Australia""","","","GPT RE Limited","FIP Program Retrieval","<p><strong>Scope of Works <br></strong><br>1. Fire Panel Technician to attend site and retrieve the FIP Program</p><p>2. Convert to xlsx format</p>","- If the water supply cannot be shut down (and a shutdown is required), a pipe freeze will be performed at a cost of $800 per freeze.
- Portable fire extinguishers requiring pressure testing, recharging, or that have been condemned will not be tagged or stamped until the necessary work has been completed.
- If repairs require high-reach access equipment, the associated hire costs will be charged in addition to the quoted price and billed at invoice cost plus 15%.
- This quotation is based on the known scope of work at the time of issue.
- The quotation does not include painting of doors, unless specified in scope of work.
- If access is denied during the initial appointment, additional charges of $460 plus GST will apply on top of the original quoted price.
- This quotation is valid for sixty (60) days from the date of issue, after which it is subject to review.
- The quoted price excludes any work completed after hours.
- Parking must be provided. If parking is not available, any incurred parking costs will be charged at cost.","2026-04-09","2026-10-06","","2026-04-09","","2026-04-09","","","","","Casper Tavitian","Casper Tavitian","","","New WIP Service Quote (Itemised)",165.0000,0.0000,105.0000,105.0000,0.0000,165.0000,165.0000,36.3636,0.0000
14753,"SQ-0774","APPROVED","","""36 Templar Rd, Erskine Park NSW 2759, Australia""","","","GPT RE Limited","FIP Program Retrieval","<p><strong>Scope of Works <br></strong><br>1. Fire Panel Technician to attend site and retrieve the FIP Program</p><p>2. Convert to xlsx format</p>","- If the water supply cannot be shut down (and a shutdown is required), a pipe freeze will be performed at a cost of $800 per freeze.
- Portable fire extinguishers requiring pressure testing, recharging, or that have been condemned will not be tagged or stamped until the necessary work has been completed.
- If repairs require high-reach access equipment, the associated hire costs will be charged in addition to the quoted price and billed at invoice cost plus 15%.
- This quotation is based on the known scope of work at the time of issue.
- The quotation does not include painting of doors, unless specified in scope of work.
- If access is denied during the initial appointment, additional charges of $460 plus GST will apply on top of the original quoted price.
- This quotation is valid for sixty (60) days from the date of issue, after which it is subject to review.
- The quoted price excludes any work completed after hours.
- Parking must be provided. If parking is not available, any incurred parking costs will be charged at cost.","2026-04-09","2026-10-06","","2026-04-09","","2026-04-09","","","","","Casper Tavitian","Casper Tavitian","","","New WIP Service Quote (Itemised)",165.0000,0.0000,105.0000,105.0000,0.0000,165.0000,165.0000,36.3636,0.0000
14752,"SQ-0773","APPROVED","","""16 Templar Rd, Erskine Park NSW 2759, Australia""","","","GPT RE Limited","FIP Program Retrieval","<p><strong>Scope of Works </strong></p><ol class=""tight"" data-tight=""true""><li><p>Fire Panel Technician to attend site and retrieve the FIP Program</p></li><li><p>Convert to xlsx format</p></li></ol>","- If the water supply cannot be shut down (and a shutdown is required), a pipe freeze will be performed at a cost of $800 per freeze.
- Portable fire extinguishers requiring pressure testing, recharging, or that have been condemned will not be tagged or stamped until the necessary work has been completed.
- If repairs require high-reach access equipment, the associated hire costs will be charged in addition to the quoted price and billed at invoice cost plus 15%.
- This quotation is based on the known scope of work at the time of issue.
- The quotation does not include painting of doors, unless specified in scope of work.
- If access is denied during the initial appointment, additional charges of $460 plus GST will apply on top of the original quoted price.
- This quotation is valid for sixty (60) days from the date of issue, after which it is subject to review.
- The quoted price excludes any work completed after hours.
- Parking must be provided. If parking is not available, any incurred parking costs will be charged at cost.","2026-04-09","2026-10-06","","2026-04-09","","2026-04-09","","","","","Casper Tavitian","Casper Tavitian","","","New WIP Service Quote (Itemised)",165.0000,0.0000,105.0000,105.0000,0.0000,165.0000,165.0000,36.3636,0.0000
